id,type,source_node_id,target_node_id
38,1,3,2
39,1,4,3
40,1,5,4
41,1,6,5
42,1,8,7
43,1,10,9
44,1,7,10
45,512,1,9
46,1,10,11
47,512,1,11
48,1,10,12
49,512,1,12
50,1,10,13
51,512,1,13
52,1,10,14
53,512,1,14
54,1,10,15
55,512,1,15
56,1,17,16
57,1,18,17
58,1,8,18
59,512,1,16
60,1,20,19
61,1,21,20
62,1,22,21
63,1,23,22
64,512,1,19
65,1,2,24
66,4096,24,15
67,1,11,25
68,4,24,25
69,4096,24,13
70,1,14,26
71,4,24,26
72,4096,24,9
73,4096,24,12
74,1,24,27
75,4096,27,19
76,1,7,28
77,2,27,28
78,1,24,29
79,4096,29,19
80,2,29,28
81,1,24,30
82,2,30,31
83,1,24,32
84,2,32,16
85,1,16,33
86,4,32,33
87,1,24,34
88,2,34,28
89,1,24,35
90,2,35,36
91,1,24,37
92,2,37,36
177,1,18,164
178,512,163,164
179,512,163,16
180,1,166,165
181,1,22,166
182,512,163,165
183,1,3,167
184,1,167,168
185,1,167,169
186,1,167,170
187,4096,170,165
188,64,164,169
189,2,170,164
190,2,170,169
191,2,170,168
192,1,167,171
193,2,171,172
194,4096,171,165
195,2,171,168
196,2,171,169
197,2,171,31
198,2,171,16
199,1,167,173
200,2,173,172
201,4096,173,165
202,2,173,168
203,2,173,169
204,1,167,174
205,1,7,175
206,2,174,175
207,4096,174,165
208,2,174,168
209,2,174,169
210,2,174,31
211,2,174,16
212,1,167,176
213,2,176,172
214,4096,176,165
215,2,176,168
394,1,4,312
395,1,314,313
396,1,315,314
397,1,316,315
398,1,317,316
399,512,311,313
400,1,319,318
401,1,8,319
402,512,311,318
403,1,319,320
404,512,311,320
405,1,319,321
406,512,311,321
407,1,323,322
408,1,324,323
409,1,325,324
410,512,311,322
411,1,327,326
412,1,328,327
413,1,329,328
414,1,22,329
415,512,311,326
416,1,331,330
417,1,332,331
418,1,329,332
419,512,311,330
420,1,334,333
421,1,335,334
422,1,329,335
423,512,311,333
424,1,337,336
425,1,338,337
426,1,22,338
427,512,311,336
428,1,337,339
429,512,311,339
430,1,337,340
431,512,311,340
432,1,342,341
433,1,343,342
434,1,344,343
435,1,345,344
436,1,22,345
437,512,311,341
438,1,347,346
439,1,348,347
440,1,22,348
441,512,311,346
442,1,350,349
443,1,351,350
444,1,348,351
445,512,311,349
446,1,353,352
447,1,354,353
448,1,22,354
449,512,311,352
450,1,353,355
451,512,311,355
452,1,357,356
453,1,358,357
454,1,22,358
455,512,311,356
456,1,3,359
457,512,311,359
458,1,3,360
459,512,311,360
460,1,3,361
461,512,311,361
462,1,363,362
463,1,312,363
464,512,311,362
465,1,365,364
466,1,312,365
467,512,311,364
468,1,367,366
469,1,368,367
470,1,4,368
471,512,311,366
472,1,370,369
473,1,4,370
474,512,311,369
475,1,312,371
476,4096,371,322
477,4096,371,352
478,4096,371,355
479,1,339,372
480,4,371,372
481,4096,371,339
482,4096,371,330
483,2,371,364
484,1,341,373
485,4,371,373
486,1,341,374
487,4,371,374
488,4096,371,341
489,2,371,366
490,4096,371,340
491,2,371,362
492,1,371,375
493,2,375,364
494,1,371,376
495,2,376,364
496,4,376,375
497,1,371,377
498,4096,377,336
499,2,377,313
500,2,377,349
501,1,349,378
502,8,377,378
503,1,349,379
504,8,377,379
505,1,371,380
506,4096,380,336
507,2,380,356
508,2,380,333
509,2,380,321
510,2,380,320
511,2,380,318
512,1,333,381
513,8,380,381
514,1,383,382
515,1,384,383
516,1,347,384
517,8,380,382
518,1,346,385
519,8,380,385
520,2,380,346
521,1,369,386
522,8,380,386
523,2,380,387
524,8,380,388
525,4,380,375
526,1,371,389
527,4096,389,336
528,4096,389,326
529,2,389,359
530,8,389,388
531,4,389,375
532,1,361,390
533,8,389,390
534,2,389,361
535,1,360,391
536,8,389,391
537,2,389,360
538,1,393,392
539,1,7,393
540,8,389,392
804,1,774,773
805,1,315,774
806,512,772,773
807,1,776,775
808,1,8,776
809,512,772,775
810,512,772,164
811,512,772,16
812,512,772,322
813,512,772,165
814,1,778,777
815,1,22,778
816,512,772,777
817,1,780,779
818,1,4,780
819,512,772,779
820,1,370,781
821,512,772,781
822,4096,359,322
823,1,3,782
824,64,782,28
825,16,359,782
826,2,359,28
827,1,359,783
828,1,3,784
829,64,164,784
830,2,783,164
831,64,784,28
832,2,783,784
833,2,783,28
834,1,777,785
835,8,783,785
836,1,781,786
837,8,783,786
838,2,783,775
839,8,783,388
840,1,164,787
841,8,783,787
842,1,18,788
843,1,359,789
844,1,789,790
845,2,789,172
846,2,789,28
847,2,789,790
848,1,782,791
849,8,789,791
850,1,781,792
851,8,789,792
852,2,789,773
853,1,779,793
854,8,789,793
855,2,789,779
856,1,359,794
857,1,794,795
858,2,794,172
859,4096,794,165
860,2,794,28
861,2,794,795
862,2,794,31
863,2,794,16
864,1,782,796
865,8,794,796
866,8,794,792
867,2,794,773
868,8,794,793
869,2,794,779
870,1,359,797
871,1,797,798
872,64,164,798
873,2,797,164
874,2,797,798
875,2,797,28
876,1,7,799
877,64,799,798
878,2,797,799
879,1,777,800
880,8,797,800
881,1,164,801
882,8,797,801
883,1,782,802
884,8,797,802
885,8,797,786
886,2,797,775
887,8,797,388
888,1,799,803
889,8,797,803
1149,1,1096,1095
1150,1,1097,1096
1151,1,18,1097
1152,512,1094,1095
1153,1,18,1098
